[01:02:51] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[01:02:54] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[01:02:54] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:02:54] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:02:54] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[01:02:54] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[01:02:54] [main/INFO]: Reloading ResourceManager: Default
[01:02:58] [Worker-Main-2/INFO]: Loaded 7 recipes
[01:02:59] [Worker-Main-2/INFO]: Loaded 927 advancements
[01:03:15] [Server thread/INFO]: Starting minecraft server version 1.16.4
[01:03:15] [Server thread/WARN]: To start the server with more ram, launch it as "java -Xmx1024M -Xms1024M -jar minecraft_server.jar"
[01:03:15] [Server thread/INFO]: Loading properties
[01:03:15] [Server thread/INFO]: Default game type: SURVIVAL
[01:03:15] [Server thread/INFO]: Generating keypair
[01:03:15] [Server console handler/ERROR]: Exception handling console input
java.io.IOException: The handle is invalid
	at java.io.FileInputStream.readBytes(Native Method) ~[?:?]
	at java.io.FileInputStream.read(FileInputStream.java:271) ~[?:?]
	at java.io.BufferedInputStream.read1(BufferedInputStream.java:282) ~[?:?]
	at java.io.BufferedInputStream.read(BufferedInputStream.java:343) ~[?:?]
	at sun.nio.cs.StreamDecoder.readBytes(StreamDecoder.java:297) ~[?:?]
	at sun.nio.cs.StreamDecoder.implRead(StreamDecoder.java:339) ~[?:?]
	at sun.nio.cs.StreamDecoder.read(StreamDecoder.java:188) ~[?:?]
	at java.io.InputStreamReader.read(InputStreamReader.java:181) ~[?:?]
	at java.io.BufferedReader.fill(BufferedReader.java:161) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:326) ~[?:?]
	at java.io.BufferedReader.readLine(BufferedReader.java:392) ~[?:?]
	at zg$1.run(SourceFile:95) [server.jar:?]
[01:03:16] [Server thread/INFO]: Starting Minecraft server on *:25565
[01:03:17] [Server thread/INFO]: Using default channel type
[01:03:20] [Server thread/INFO]: Preparing level "world"
[01:03:35] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[01:03:36] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:03:36] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:03:36] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:03:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:03:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:03:38] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:03:39] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:03:39] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:03:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:03:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:03:40] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:03:41] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[01:03:41] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:03:42] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:03:43] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:03:43] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:03:43] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:03:44] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[01:03:45] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[01:03:45] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[01:03:45] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[01:03:46] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[01:03:47] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[01:03:47] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[01:03:47] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[01:03:48] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[01:03:48] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[01:03:49] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[01:03:50] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[01:03:50] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[01:03:50] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[01:03:51] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[01:03:51] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[01:03:52] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[01:03:53] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[01:03:53] [Worker-Main-2/INFO]: Preparing spawn area: 9%
